Frame,Object_ID,X,Y
1,114,128,154
1,115,283,153
1,119,26,148
1,120,229,145
1,121,226,148
1,125,379,132
1,127,323,131
1,129,154,114
1,134,203,99
1,135,271,98
1,137,201,97
1,138,42,94
1,141,45,90
1,142,178,86
1,146,179,81
1,149,182,74
1,151,134,75
1,158,283,61
1,161,221,53
1,164,222,50
1,165,50,55
1,167,216,48
1,169,212,44
1,172,371,44
1,182,207,38
1,183,267,35
1,188,32,32
1,189,254,30
1,190,158,30
1,196,249,28
1,198,154,27
1,199,117,31
1,200,36,30
1,203,320,20
1,205,322,17
1,206,195,18
1,209,146,4
1,210,150,1
2,0,274,363
2,3,150,354
2,5,145,356
2,6,289,350
2,7,293,345
2,8,290,348
2,14,372,339
2,16,369,336
2,18,187,338
2,20,234,338
2,22,340,334
2,23,294,334
2,25,204,333
2,28,356,330
2,30,340,329
2,31,292,330
2,32,288,328
2,33,236,330
2,34,200,330
2,36,101,326
2,37,98,321
2,39,59,323
2,40,70,318
2,43,69,314
2,46,108,299
2,48,292,297
2,49,290,302
2,53,262,294
2,55,74,300
2,56,257,293
2,59,148,286
2,64,145,284
2,66,92,280
2,67,89,284
2,68,206,277
2,70,203,274
2,75,34,270
2,78,227,266
2,79,38,266
2,83,215,261
2,85,219,258
2,86,215,257
2,87,211,258
2,89,381,254
2,90,32,254
2,93,79,257
2,94,378,251
2,96,99,250
2,98,38,248
2,99,34,250
2,100,237,246
2,104,233,241
2,106,76,235
2,110,375,228
2,115,365,222
2,116,365,217
2,117,360,217
2,118,275,212
2,119,90,203
2,121,68,194
2,123,168,188
2,126,173,186
2,128,198,176
2,129,197,181
2,130,76,179
2,131,368,150
2,133,370,146
2,137,286,137
2,138,282,138
2,141,164,131
2,143,386,123
2,152,348,83
2,154,49,85
2,157,374,80
2,158,365,82
2,160,345,80
2,161,53,80
2,163,303,79
2,167,129,59
2,172,291,51
2,173,241,57
2,174,293,49
2,183,84,44
2,184,85,40
2,189,287,39
2,194,188,34
2,198,90,29
2,200,53,29
2,202,258,26
2,203,104,26
2,204,93,24
2,205,50,24
2,206,385,21
2,209,387,16
2,211,347,17
2,212,162,18
2,213,164,11
3,2,370,364
3,3,307,363
3,5,170,347
3,6,40,342
3,7,371,339
3,8,41,337
3,12,236,330
3,14,82,323
3,19,121,318
3,21,385,316
3,23,50,318
3,25,384,312
3,26,125,313
3,27,122,316
3,30,26,315
3,32,146,311
3,37,381,301
3,38,158,301
3,40,382,296
3,41,377,297
3,42,187,301
3,43,154,296
3,45,136,278
3,46,168,272
3,47,142,272
3,48,138,274
3,49,180,270
3,51,174,267
3,53,168,258
3,58,243,241
3,61,78,236
3,62,74,236
3,63,285,233
3,64,280,233
3,65,76,232
3,70,145,228
3,71,152,226
3,72,132,226
3,77,335,202
3,78,224,197
3,79,379,196
3,81,227,194
3,88,86,187
3,89,80,186
3,93,372,180
3,96,263,176
3,97,263,179
3,98,186,180
3,101,228,175
3,105,170,165
3,107,169,160
3,111,230,113
3,112,226,114
3,113,210,114
3,115,77,99
3,119,92,92
3,120,315,91
3,122,185,91
3,123,176,88
3,127,342,80
3,128,338,82
3,130,73,67
3,131,67,64
3,132,65,67
3,133,77,30
3,134,75,27
3,135,72,24
3,138,330,20
3,139,334,17
4,3,89,350
4,4,237,350
4,5,232,346
4,6,237,345
4,7,218,345
4,8,93,345
4,10,106,334
4,11,109,333
4,12,107,327
4,15,104,321
4,19,331,315
4,20,178,300
4,22,44,299
4,28,346,288
4,34,348,274
4,36,331,275
4,42,120,268
4,44,388,264
4,45,383,267
4,46,378,264
4,47,215,277
4,48,124,265
4,50,240,259
4,51,245,260
4,52,241,256
4,64,243,243
4,67,121,229
4,68,125,226
4,69,225,205
4,70,224,200
4,76,331,194
4,77,212,195
4,78,163,194
4,81,95,195
4,84,148,170
4,86,270,166
4,87,180,165
4,88,268,164
4,89,265,161
4,92,210,156
4,93,156,156
4,94,154,154
4,95,212,154
4,97,179,157
4,98,152,150
4,99,157,149
4,102,153,146
4,103,132,123
4,108,170,91
4,110,51,92
4,111,241,81
4,114,211,75
4,116,240,63
4,117,244,63
4,120,317,46
4,123,314,43
4,124,99,41
4,126,106,18
4,131,155,11
4,132,66,12
4,136,56,6
5,7,132,331
5,8,45,328
5,13,38,313
5,14,36,332
5,16,80,307
5,19,182,300
5,20,174,298
5,23,235,265
5,25,131,250
5,26,226,219
5,27,228,212
5,30,206,202
5,32,201,204
5,35,45,195
5,42,107,156
5,45,228,149
5,48,229,144
5,53,197,121
5,54,66,118
5,58,216,108
5,61,307,111
5,62,221,106
5,63,208,78
5,65,213,77
5,69,42,51
5,70,264,50
5,74,270,45
5,82,279,34
5,83,67,15
6,1,348,349
6,3,346,344
6,5,323,347
6,7,282,340
6,9,349,329
6,10,346,332
6,11,88,318
6,12,92,316
6,13,94,313
6,18,248,301
6,19,253,297
6,26,245,285
6,28,241,281
6,41,276,252
6,46,162,248
6,50,281,246
6,51,315,244
6,54,271,247
6,55,387,242
6,56,377,264
6,57,318,240
6,59,284,241
6,62,310,238
6,64,134,234
6,66,130,237
6,67,310,232
6,70,302,235
6,73,76,234
6,76,19,204
6,78,238,194
6,79,231,200
6,80,225,195
6,86,235,179
6,89,155,147
6,92,86,142
6,94,108,139
6,95,104,136
6,96,84,140
6,97,81,137
6,99,40,135
6,100,288,132
6,103,293,130
6,104,44,135
6,106,284,115
6,108,317,110
6,113,338,102
6,118,126,101
6,120,344,98
6,121,318,100
6,122,123,95
6,123,126,90
6,128,330,76
6,134,178,58
6,138,309,52
6,139,310,48
6,140,306,49
6,141,166,42
6,142,163,41
6,143,159,40
6,144,157,44
6,145,341,27
6,148,77,14
6,149,230,13
6,151,227,10
6,152,74,11
6,153,259,3
